Site,Year,Acanthurus.bahianus,Acanthurus.coeruleus,Gobiidae,Gramma.loreto,Haemulon.flavolineatum,Bodianus.rufus,Clepticus.parrae,Halichoeres.garnoti,Halichoeres.maculipinna,Thalassoma.bifasciatum,Abudefduf.saxatilis,Chromis.cyanea,Chromis.enchrysura,Chromis.insolata,Chromis.multilineata,Stegastes.leucostictus,Stegastes.partitus,Scarus.iserti,Scarus.taeniopterus,Sparisoma.atomarium,Sparisoma.aurofrenatum,Sparisoma.viride,Hypoplectrus.puella,Serranus.tigrinus,Canthigaster.rostrata,Tot.Abund0.5
BC,2013,0,0,0,0,0,0,0,0.066666667,0,0.033333333,0,0.3,0,0,0,0,0.188888889,0.255555556,0,0,0,0,0,0,0.3,1.144444444
CA,2013,0,0.022222222,0,0.144444444,0.033333333,0.011111111,0,0.322222222,0,0.411111111,0,1.277777778,0,0,0,0,0.4,0.155555556,0.022222222,0,0,0,0,0,0.322222222,3.122222222
GA,2013,0,0,0,0.022222222,0,0,0.244444444,0.144444444,0.033333333,0.066666667,0,0.388888889,0,0,0,0,0.2,0.111111111,0,0.044444444,0.088888889,0.033333333,0,0,0.344444444,1.722222222
HC,2013,0,0,0,0,0,0,0,0.077777778,0,0.088888889,0,0.222222222,0,0,0,0,0.888888889,0,0,0,0.022222222,0,0,0,0.266666667,1.566666667
HM,2013,0,0,0,0.611111111,0,0,2.155555556,0,0,0.311111111,0,4.055555556,0,0.577777778,0.633333333,0,0.566666667,0,0,0,0.011111111,0,0,0,0.333333333,9.255555556
MC,2013,0,0,0,0,0,0,1.333333333,0.306666667,0,0.16,0,0.44,0,0,0.026666667,0,1.426666667,0,0,0,0.173333333,0,0,0,1.093333333,4.96
MR,2013,0,0,0,0,0,0,0,0.055555556,0,0.222222222,0,0.377777778,0,0,0,0,0.366666667,0.044444444,0,0,0,0.011111111,0,0,0.4,1.477777778
NI,2013,0,0,0,0,0,0,0,0.355555556,0,0.155555556,0,0.2,0,0,0,0,0.155555556,0.133333333,0,0,0.133333333,0,0,0,1.444444444,2.577777778
PO,2013,0,0.011111111,0,0,0.022222222,0,0.166666667,0.111111111,0,0.088888889,0,0.433333333,0,0,0,0,0.477777778,0.066666667,0.022222222,0,0.033333333,0,0,0,0.844444444,2.277777778
RA,2013,0,0,0,0,0,0,0,0.146666667,0,0.026666667,0,0.64,0,0,0,0,0.346666667,0.026666667,0,0.013333333,0.013333333,0,0,0,0.906666667,2.12
SM,2013,0,0,0,0,0,0,0,0.288888889,0,0.255555556,0,0.911111111,0,0,0,0,1.188888889,0,0,0,0.066666667,0,0,0,0.7,3.411111111
ST,2013,0,0,0,0,0,0,0,0.533333333,0.011111111,0.144444444,0,0.288888889,0,0,0,0,1.655555556,0.088888889,0,0,0.088888889,0,0,0,1.355555556,4.166666667
SW,2013,0,0.266666667,0,0,0,0,0,0.211111111,0,0.122222222,0,0.011111111,0,0,0,0,0.1,0.122222222,0.011111111,0,0.088888889,0,0,0,0.588888889,1.522222222
TB,2013,0,0,0,0,0,0,0,0.044444444,0,0.2,0,0.322222222,0.111111111,0,0,0,0.444444444,0,0,0,0.011111111,0,0,0,0.366666667,1.5
